url,filename
"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/nsd/nsd95000/g/42.jpg",92662.jpg
"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/flo/flo67958/g/8.jpg",140129.jpg
"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now06007/g/14.jpg",98585.jpg
"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/bpf/bpf02424/g/24.jpg",116057.jpg
"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/ncs/ncs67555/g/8.jpg",141696.jpg
"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/syo/syo00700/g/100.jpg",83309.jpg
"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/boi/boi99851/g/49.jpg",3560.jpg
"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/ste/ste00209/g/1.jpg",11140.jpg
"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/age/age00802/g/57.jpg",104062.jpg
"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/sre/sre01081/g/103.jpg",75241.jpg
"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cgn/cgn01344/g/103.jpg",88693.jpg
"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/nca/nca63967/g/8.jpg",133378.jpg
"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/nli/nli90667/g/27.jpg",24052.jpg
"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/suw/suw92023/g/24.jpg",117095.jpg
"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/swv/swv01984/g/24.jpg",122325.jpg
"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/vtp/vtp00508/g/105.jpg",71356.jpg
"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cgn/cgn01033/g/247.jpg",64903.jpg
