name,slug,description_text,category_slug,category_name,product_type_slug,product_type_name,collections,attributes,rating,tax_class,weight,price,image_url,brand,capacity,weight_attr
Half Dome 2 Tent with Footprint,half-dome-2-tent-with-footprint,"Half Dome 2 Tent with Footprint — great for Camping, Backpacking.",tent,Tent,tents,Tents,"camping,backpacking",best-for:camping|backpacking;persons:2;brand:half,4.7,standard,2.5,299,https://www.rei.com/media/09ae9844-d7cf-4450-8a5c-d49b58e3ac23?size=2000,half,,
Radiant 20 Sleeping Bag,radiant-20-sleeping-bag,"Radiant 20 Sleeping Bag — great for Camping, Backpacking.",sleeping-gear,Sleeping Gear,sleeping-bags,Sleeping Bags,"camping,backpacking",best-for:camping|backpacking;temp-rating:20;brand:radiant,4.7,standard,1.2,199,https://www.rei.com/media/e869f452-fda8-41a2-9451-9f876f1c379c?size=2000,radiant,,
Atmos AG 50 Pack - Men's,atmos-ag-50-pack-men-s,"Atmos AG 50 Pack - Men's — great for Camping, Backpacking.",backpacks,Backpacks,backpacks,Backpacks,"camping,backpacking",best-for:camping|backpacking;gender:mens;brand:atmos;capacity:50-person,4.6,standard,1.5,315,https://www.rei.com/media/f0c2dba1-486b-4cae-b140-345b0a5a2519?size=2000,atmos,50-person,
Flash 1.0 L Fast Boil System,flash-1-0-l-fast-boil-system,"Flash 1.0 L Fast Boil System — great for Camping, Backpacking.",camp-kitchen,Camp Kitchen,camp-kitchen,Camp Kitchen,"camping,backpacking",best-for:camping|backpacking;volume-l:1.0;brand:flash;capacity:0l,4.9,standard,0.8,97.39,https://www.rei.com/media/9686371a-4647-401e-b2ea-c14b4f492042?size=2000,flash,0l,
